index,slack,datapath_delay,logic_levels,startpoint,endpoint
4588,-0.210,2.190,3,bf_cycle_reg[2]/C,signal_reg_reg[82][7]/D
4589,-0.210,2.191,4,bf_cycle_reg[5]/C,signal_reg_reg[80][6]/D
4590,-0.210,2.190,7,bf_cycle_reg[1]/C,signal_reg_reg[106][18]/D
4591,-0.209,2.190,1,sched_src_sel_reg_reg[88][0]_rep__2/C,operand_x_reg_reg[99][12]/D
4592,-0.209,2.192,7,operand_x_reg_reg[36][0]/C,lane_product_reg_reg[68][0]/D
4593,-0.209,2.192,7,operand_x_reg_reg[19][2]/C,lane_product_reg_reg[19][2]/D
4594,-0.209,2.190,7,operand_coeff_reg_reg[90][1]/C,lane_product_reg_reg[90][0]/D
4595,-0.209,2.190,5,bf_cycle_reg[2]/C,signal_reg_reg[22][12]/D
4596,-0.209,2.190,5,bf_cycle_reg[2]/C,signal_reg_reg[49][12]/D
4597,-0.209,2.190,5,bf_cycle_reg[2]/C,signal_reg_reg[93][7]/D
4598,-0.209,2.190,3,bf_cycle_reg[2]/C,signal_reg_reg[60][3]/D
4599,-0.209,2.190,4,red_s0_data_reg[5][0]/C,dot_value_bank_reg[1][6][13]/D
4600,-0.208,2.189,5,bf_cycle_reg[3]/C,signal_reg_reg[2][16]/D
4601,-0.208,2.191,7,operand_coeff_reg_reg[1][4]/C,lane_product_reg_reg[55][8]/D
4602,-0.208,2.190,7,operand_x_reg_reg[20][0]/C,lane_product_reg_reg[20][0]/D
4603,-0.208,2.188,7,operand_x_reg_reg[89][1]/C,lane_product_reg_reg[89][1]/D
4604,-0.208,2.189,3,bf_cycle_reg[2]/C,signal_reg_reg[76][3]/D
4605,-0.208,2.187,5,bf_cycle_reg[2]/C,signal_reg_reg[40][4]/D
4606,-0.208,2.187,5,bf_cycle_reg[2]/C,signal_reg_reg[8][4]/D
4607,-0.207,2.187,7,operand_x_reg_reg[112][3]/C,lane_product_reg_reg[112][8]/D
4608,-0.207,2.187,5,bf_cycle_reg[2]/C,signal_reg_reg[62][6]/D
4609,-0.207,2.190,7,operand_x_reg_reg[48][1]/C,lane_product_reg_reg[80][3]/D
4610,-0.207,2.187,3,bf_cycle_reg[2]/C,signal_reg_reg[66][5]/D
4611,-0.207,2.187,3,bf_cycle_reg[2]/C,signal_reg_reg[82][5]/D
4612,-0.207,2.188,3,bf_cycle_reg[5]/C,signal_reg_reg[54][6]/D
